Type,Name,Nr,Country,Amount,Percentage,Price
"Öl, Mellanmörk lager, Märzen och wienerstil",Vega Bryggeri,Nr 36901,Sverige,330 ml,"5,5 %",30:10
"Öl, Ale, Golden/Blond ale",Sad Robot,Nr 31780,Sverige,330 ml,"5,2 %",23:90
"Öl, Ale, Barley wine",O/O #200,Nr 37264,Sverige,330 ml,"12,8 %",99:60
"Öl, Imperial porter och stout",Winter Island Stout,Nr 34136,Sverige,330 ml,8 %,40:20
"Öl, Ale, New England IPA/Hazy IPA",Eightysix,Nr 37198,Sverige,330 ml,"6,4 %",38:40
"Öl, Ale, Amerikansk pale ale (APA)",Winter Island Ale,Nr 34104,Sverige,330 ml,"5,6 %",30:10
"Öl, Imperial porter och stout",Vega,Nr 34381,Sverige,330 ml,8 %,39:90
"Öl, Ale, Amber ale",Vega,Nr 33496,Sverige,330 ml,"5,6 %",29:90
"Öl, Ale, Barley wine",Barley Wine,Nr 33991,Sverige,330 ml,"10,5 %",35:50
"Öl, Ale, Saison",O/O Brewing,Nr 38280,Sverige,750 ml,"6,8 %",89:-
"Öl, Ale, Session IPA",Sad Robot Brewing,Nr 35764,Sverige,330 ml,"4,8 %",25:40
"Öl, Ale, Barley wine",The Holy Grail,Nr 37271,Sverige,750 ml,"10,7 %",159:-
"Öl, Mellanmörk lager, Märzen och wienerstil",Vega Easter Lager,Nr 31054,Sverige,330 ml,"5,4 %",29:90
"Öl, Imperial porter och stout",Sad Robot,Nr 32550,Sverige,330 ml,"8,7 %",32:40
"Öl, Ale, Barley wine",O/O,Nr 36496,Sverige,330 ml,11 %,69:90
"Öl, Ljus lager, Modern stil/India Pale Lager",Sad Robot Brewing,Nr 35763,Sverige,330 ml,"5,1 %",23:90
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 34133,Sverige,440 ml,"6,8 %",44:30*
"Öl, Ljus lager, Modern stil/India Pale Lager",Diamante,Nr 34233,Sverige,330 ml,"5,6 %",28:60*
"Öl, Ljus lager, Internationell stil",Göteborgs Nya Bryggeri,Nr 54053,Sverige,500 ml,"5,7 %",29:30
"Öl, Övrig syrlig öl",Mohawk,Nr 35564,Sverige,375 ml,"7,1 %",100:30
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 52126,Sverige,5000 ml,"6,5 %",504:10
